Borrowers,Categories,Lenders,Time of Loan Execution,Term of the Loan,External Reviewer,Loan Amount,Currency,Sustainability Performance Targets,Characteristics of the loan,Reporting Policy
Japan Real Estate Investment Corporation,Finance (including REITs),"MUFG Bank, Ltd.","December, 2023",6 years,"Japan Credit Rating Agency, Ltd.",10,billion yen,"Reduce CO2 emissions by 80% by FY2030 (compared to FY2019, on a total amount basis)",The arrangement allows the financial characteristics to vary depending on the achievement of the SPT. The changes include a step-up/step-down in the interest rate.,"It plans to disclose on an annual basis on its website the actual results of the KPIs and the achievement of the SPTs for the reporting period, as well as information on the borrower's latest sustainability strategy in relation to the KPIs and the SPTs."
IDX,"Electronic components, devices, information equipment, etc.","The Gunma Bank,Ltd.","December, 2023",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from the FY2023/8 baseline,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"YAMAKI INDUSTRIES CO., LTD.",Real estate and construction,"Syndication method 
(Arranger:THE TOHO BANK, LTD.）THE TOHO BANK, LTD.、The Joyo Bank, Ltd.","December, 2023",ー,"Rating & Investment Information, Inc.　",1.5,billion yen,"CO2 emissions (Scope 1 + Scope 2) sales intensity reduction 
（Actual： FY2021 21.300 (base value), FY2022 18.282 (reduction rate 14.1%)）
【Target】(cumulative reduction rate against base year)
FY2023 15.5%
FY2024 17.0%
FY2025 18.5%
FY2026 20.0%
FY2027 25.0%
FY2028 27.0%
FY2029 29.0%
FY2030 31.0%
FY2031 33.0%
FY2032 35.0%
FY2033 37.0%
FY2034 39.5%
FY2035 44.5%
FY2036 47.0%",It is designed to look at the achievement of the SPT each fiscal year and reduce the interest rate if it is achieved.,Report annually to the lender through the agent on the status of achievement of the SPT and post on YAMAKI INDUSTRIES's website.
ADVANCE,Others (including service industry),"The Gunma Bank,Ltd.","December, 2023",ー,"Gungin Consulting Co., Ltd.",ー,ー,Reduce greenhouse gas emissions by 2.7% per year from the FY2023/8 baseline,The incentive is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of the SPTs shall be reported to Gunma Bank using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work."
"Eisai Co., Ltd.",Others (including service industry),"Syndication method 
(Arranger:Mizuho Bank, Ltd.）39 finantial institutions","December, 2023",ー,"Rating & Investment Information, Inc.　",50,billion yen,"Social Impact of Recanemab in FY2029 in Japan and the U.S., respectively","If the SPT is not achieved, donations will be made to dementia-related organizations in Japan and the U.S. or similar organizations.","Eisai shall submit a document confirming the progress of KPI to the Agent once a year, and the Agent shall report to all lenders.
If Eisai decides to make a donation due to non-achievement of the SPT, it will report to the lenders as soon as the donation recipient, donation amount, and timing are finalized."
"Eisai Co., Ltd.",Chemical Industry,"Syndication method 
(Arranger:Mizuho Bank, Ltd.）39 finantial institutions","December, 2023",ー,"Rating & Investment Information, Inc.　",50,billion yen,Social impact of Alzheimer's disease (AD) treatment Recanemab in Japan and the U.S. to be reached in FY2029 (target values will not be disclosed for competitive reasons).,"If the SPT is not achieved, donations will be made to dementia-related organizations in Japan and the U.S. or similar organizations.","isai shall submit a document confirming the progress of KPI to the Agent once a year, and the Agent shall report to all lenders.
If Eisai decides to make a donation due to non-achievement of the SPT, it will report to the lenders as soon as the donation recipient, donation amount, and timing are finalized."
"CHUSEKI Co.,Ltd",Wholesale and retail trade,"The Hiroshima Bank, Ltd. ","December, 2023",5 years,HIROGIN area design Co. Ltd. ,0.1,billion yen,Increase the sales volume of energy-saving equipment in stores and offices by at least 5% from FY2023 to FY2028 compared to the previous fiscal year.,"The interest rate applied during the term of the loan will be determined by the achievement of the following requirements
(1) The borrower must report to the lender in writing on the progress of its initiatives.
(2) The SPT target figures must be achieved.

If (1) is complied with, the spread will remain the same even if (2) is not met.
If (1) is complied with and (2) is achieved, the spread is designed to decrease.",The Borrower intends to provide the Lender with a written statement of its achievement of the SPT. The Borrower intends to make a statement on the Lender's website that this financing is based on a Sustainability Linked Loan.
"KOBAORI Co., Ltd ",Manufacturing,"The Bank of Kyoto, Ltd.","December, 2023",ー,"Japan Credit Rating Agency, Ltd.",ー,ー,"Reduction of CO2 emissions from business activities 
（Actual emissions in base year：106.7t）
【Targets】 (Figures in parentheses indicate reduction rate) 
FY2023　102.4t(-4.0%)
FY2024　100.3t(-6.0%)
FY2025　  98.1t(-8.1%)",Incentives such as preferential interest rates are given based on the achievement of SPTs,Emission reduction plans and reduction reports of the borrower will be published on the Kyoto Prefecture website once a year until the loan is repaid.
Nisshin Kogei Corporation,Manufacturing,"The Bank of Kyoto, Ltd.","December, 2023",ー,"Japan Credit Rating Agency, Ltd.",ー,ー,"Reduction of CO2 emissions from business activities 
（Actual emissions in base year(FY2020-2022)：26.1 t）
【Targets】 (Figures in parentheses indicate reduction rate) 
FY2023　25.0t(-4.2%)
FY2024　24.9t(-4.6%)
FY2025　24.8t(-5.0%)",Incentives such as preferential interest rates are given based on the achievement of SPTs,Emission reduction plans and reduction reports of the borrower will be published on the Kyoto Prefecture website once a year until the loan is repaid.
"KYOSEI EXPREDD
(共盛輸送)",Transportation,Kyoto Chuo Shinkin Bank,"December, 2023",ー,"Japan Credit Rating Agency, Ltd.　※",ー,ー,"Achieve a reduction rate of -6% in the business sector, -4% in the industrial sector, and -2% in the transportation sector (all annualized), which is equivalent to the target reduction rate under Kyoto Prefecture's emission reduction plan, reporting, and announcement system for business operators (specified business operator system).
【Details of initiatives】
Substantially reduce greenhouse gas emissions by replacing vehicles with the latest vehicles with improved fuel economy standards","If the SPT is not met/achieved, the interest rate will increase/decrease from the time of interest payment after the determination date until the next determination.","Once a year until the loan is repaid, the borrower's CO2 emission reduction plan and reduction report will be published on the Kyoto Prefectural Government's website."
LORDMAN EXRPESS,Transportation,"The Chugoku Bank, Ltd","December, 2023",5 years,Okayama economic research institute,0.1,billion yen,"Reduction rate of CO2 emissions per net sales (%) 
【Target】（compared to the previous year）
2024/May　▲1.25％
2025/May　▲1.25％
2026/May　▲1.25％
2027/May　▲1.25％
2028/May　▲1.25％",The system is designed to apply a pre-determined reduction in interest rates when the SPTs are achieved.,Submit documents showing the status of achievement of the SPTs as of the judgment reference date in the prescribed form once a year until the fulfillment of the obligations is completed.
LAGOM,Others (including service industry),"Tsukuba Bank, Ltd.","December, 2023",ー,"Rating & Investment Information, Inc.　※",ー,ー,Increase in the percentage of female managers（KPI）,The incentive design is designed to check the achievement of SPTs annually and reduce the interest rate when they are achieved.,"In principle, once a year, the status of achievement of SPTs shall be reported to Tsukuba Bank's branch offices using the prescribed form. The report shall also include prima facie evidence and data necessary for verification work. In principle, the contents of the reports on the borrower's website, etc. will not be disclosed to the public."
"Akiba Shoten Co.,Ltd.",Wholesale and retail trade,"The Chiba Bank, Ltd.","December, 2023",ー,Chibagin Research Institute Corporation,0.1,billion yen,"CO2 emissions per 100 million yen of sales（t-CO2/100 million yen）
（actual result：FY2022　10.8729 t-CO2/100 million yen)
【Target】
(t-CO2/100 million yen、Figures in parentheses are reduction rates compared to FY2022）
FY2023 10.5793 (▲2.7％)
FY2024 10.2858 (▲5.4％)
FY2025 9.9922 (▲8.1％)
FY2026 9.6986 (▲10.8％)","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"ARMS Corporation
(アームズコーポレーション) ",Real estate and construction,"The Chiba Bank, Ltd.","December, 2023",ー,Chibagin Research Institute Corporation,0.1,billion yen,"Cumulative sales of Eco-Cute for home use (units)
【Target】
(Figures in parentheses show percentage increase over FY2022)
FY2023  2,413 （10.8％）
FY2024  2,648 （21.6％）
FY2025  2,883 （32.4％）
FY2026  3,118 （43.2％）","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
"BIG Co.,Ltd",Real estate and construction,"The Chiba Bank, Ltd.","December, 2023",ー,Chibagin Research Institute Corporation,0.115,billion yen,"Reduce CO2 emissions per 100 million yen in sales to 27.0% by FY2032 compared to FY2022.
（actual result：FY2022　 0.72490 t-CO2/100 million yen)
 【Target for each fiscal year】
FY2023 ▲2.7％
FY2024 ▲5.4％
FY2025 ▲8.1％
FY2026 ▲10.8％
FY2027 ▲13.5％
FY2028 ▲16.2％
FY2029 ▲18.9％
FY2030 ▲21.6％
FY2031 ▲24.3％
FY2032 ▲27.0％　","Status of achievement of SPTs is checked on an annual basis in principle, and a mechanism is set up to lower or raise the interest rate depending on the status of achievement.","Once a year, the status of achievement of SPTs will be checked in a prescribed form. Reporting information will not be made public."
